chem. formula;LG;serial-id;ICSD;source;indirect gap with SOC (eV);direct gap with SOC (eV);topological classification at Ef with SOC;topological subclassification at Ef with SOCe;topological classification at Ef without SOC;topological subclassification at Ef without SOC;experimental;comput. exfoliable; comput. dynamically stable; comput. thermodynamically stable;twistable semimetal;twistable insulator
Cu2 K2 Se6 Zr2;41;1.2.50;n.a.;https://www.materialscloud.org/discover/mc2d/details/KZrCuSe3;0.005;0.0066;TI;NLC;Trivial;LCEBR;n.a.;Yes;n.a.;n.a.;No;No
Hf2 Te10;46;1.2.55;n.a.;https://www.materialscloud.org/discover/mc2d/details/Hf2Te10;0.1148;0.2897;TI;SEBR;SM;ES;n.a.;Yes;n.a.;n.a.;No;No
I2 N2 Ti2;46;1.2.56;n.a.;https://www.materialscloud.org/discover/mc2d/details/TiNI;0.0237;0.0237;TI;SEBR;SM;ES;n.a.;Yes;n.a.;n.a.;No;No
Te10 Zr2;46;1.2.60;n.a.;https://www.materialscloud.org/discover/mc2d/details/Zr2Te10;0.1304;0.2735;TI;SEBR;SM;ES;n.a.;Yes;n.a.;n.a.;No;No
As2 I2;2;1.3.1;n.a.;https://c2db.fysik.dtu.dk/material/2AsI-1;1.3298;1.4873;TI;NLC;SM;NLC-SM;n.a.;n.a.;No;Yes;No;Yes
S10 Zr2;46;1.3.101;n.a.;https://c2db.fysik.dtu.dk/material/2ZrS5-1;0.0451;0.0451;TI;SEBR;SM;ES;n.a.;n.a.;n.a.;Yes;No;No
Se10 Zr2;46;1.3.102;n.a.;https://c2db.fysik.dtu.dk/material/2ZrSe5-1;0.1828;0.1828;TI;SEBR;SM;ES;n.a.;n.a.;Yes;Yes;No;No
Te10 Zr2;46;1.3.103;653212;https://c2db.fysik.dtu.dk/material/2ZrTe5-1;0.1293;0.2745;TI;SEBR;SM;ES;n.a.;n.a.;Yes;Yes;No;No
Ba3 Br2 Ni2 O5;61;1.3.106;n.a.;https://c2db.fysik.dtu.dk/material/1Br2Ni2Ba3O5-1;0.0071;0.06;TI;SEBR;SM;ES;n.a.;n.a.;Yes;Yes;No;No
Ba3 Cl2 Ni2 O5;61;1.3.107;n.a.;https://c2db.fysik.dtu.dk/material/1Cl2Ni2Ba3O5-1;0.0101;0.0525;TI;SEBR;SM;ES;n.a.;n.a.;Yes;Yes;No;No
F2 P2;15;1.3.11;n.a.;https://c2db.fysik.dtu.dk/material/2FP-1;0.047;0.047;TI;NLC;SM;ES;n.a.;n.a.;n.a.;Yes;No;No
Ir2 Nb2 Te8;15;1.3.12;73690;https://c2db.fysik.dtu.dk/material/2IrNbTe4-1;0.0375;0.0375;TI;NLC;SM;ES;n.a.;n.a.;Yes;Yes;No;No
Ir2 Ta2 Te8;15;1.3.13;657362;https://c2db.fysik.dtu.dk/material/2IrTaTe4-1;0.0276;0.0276;TI;NLC;n.a.;n.a.;n.a.;n.a.;Yes;Yes;No;No
Mo2 Se4;15;1.3.14;n.a.;https://c2db.fysik.dtu.dk/material/2MoSe2-1;0.0326;0.0721;TI;NLC;SM;ES;n.a.;n.a.;Yes;Yes;No;No
Nb2 Rh2 Te8;15;1.3.15;n.a.;https://c2db.fysik.dtu.dk/material/2NbRhTe4-1;0.0715;0.0719;TI;NLC;SM;ES;n.a.;n.a.;Yes;Yes;No;No
I2 N2 Ti2;64;1.3.158;n.a.;https://c2db.fysik.dtu.dk/material/2INTi-2;0.0631;0.108;TI;SEBR;SM;ESFD;n.a.;n.a.;Yes;Yes;No;No
P2 Rh2 Se6;71;1.3.188;n.a.;https://c2db.fysik.dtu.dk/material/2PRhSe3-1;0.017;0.017;TI;SEBR;SM;ES;n.a.;n.a.;No;Yes;Yes;No
